연번,이름,생년월일,현재 나이,연령대,성별,휴대폰 번호,이메일,고객 구분,아이디,가입일,가입 이후 경과 기간,주소,거주 지역,인구 밀도,GDP (조 원),1인당 GDP (만 원),고객 등급,회원가입 이후 구매 이력,최근 구매 제품,차량 사이즈,차량 유형,최근 구매 날짜,최근 구매 연도,최근 구매 시즌,최근 구매 시점,구매 요일,최근 구매 요일,마지막 구매 이후 경과 기간,최근 구매 당시 나이,최근 거래 금액,누적 구매 금액,평균 구매 금액,등급 점수,금액 점수,고객 등급 점수,할부 여부,거래 방식,구매 경로,차량 구매 횟수,구매 빈도 점수,신차 구매 지수,고객 평생 가치,고객 그룹,구매 시즌,구매 요일,고객 충성도 지수,등급
69,손병철,1975.6.29,50,50대 초반,남,054-059-8995,ogim@yu.com,개인,seonghun39,2025.1.25,54,서울특별시 종로구 청운동 67-89,서울특별시,15533,548,5161,VIP,X,넥쏘,중형,SUV,2024.9.2,2024,가을,2024 3분기,0,평일,199,49,71610000,539770000,61722917,1,2,4,1,2,1,2,2,0.05,393492330,FMB,가을,0,50,이탈가능
70,윤경희,1973.9.17,52,50대 초반,남,062-112-1913,hyeonugim@yuhanhoesa.com,개인,yejungang,2022.12.11,830,경상남도 창원시 의창구 봉곡동 48-6,경상남도 창원시,1338,127,3000,VIP,O,G70,중형,세단,2023.7.20,2023,여름,2023 3분기,3,평일,609,50,45320000,214530000,64562308,1,4,6,1,3,0,5,1,0.003,155319720,EVC,여름,3,78,일반
71,이정자,2004.3.16,21,20대 초반,여,010-2415-1251,hgim@daum.net,개인,myeongsug84,2024.2.1,413,충청남도 천안시 동남구 성성동 22-3,충청남도 천안시,1036,143,5894,VIP,X,아반떼N,준중형,세단,2023.8.26,2023,여름,2023 3분기,5,주말,572,19,40460000,355250000,51764286,0,3,5,1,2,1,5,1,0.011,425944750,FMB,여름,5,69,일반
72,김현준,1957.10.24,68,60대 후반,남,011-345-1098,rgim@dreamwiz.com,개인,jihye30,2022.5.10,1045,대구광역시 수성구 범어동 55-3,대구광역시,2666,90,2674,VIP,O,싼타페,중형,SUV,2023.9.16,2023,가을,2023 3분기,5,주말,551,66,37400000,196770000,52958333,1,4,6,0,2,0,4,1,0.002,104484870,EVC,가을,5,73,일반
73,최채원,1958.5.1,67,60대 후반,남,053-541-6149,caeweon12@live.com,개인,jhan,2024.1.3,442,경상북도 포항시 남구 대도동 19-2,경상북도 포항시,436,121,3000,VIP,O,G80,대형,세단,2024.6.7,2024,여름,2024 2분기,4,평일,286,66,87130000,365040000,59402500,3,3,8,1,1,0,3,2,0.006,269764560,EVC,여름,4,72,일반
74,최정호,1987.4.6,38,30대 후반,남,053-194-7742,ei@yu.com,개인,jeonghoi,2024.9.28,173,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,VIP,X,싼타페,중형,SUV,2023.9.30,2023,가을,2023 3분기,5,주말,537,36,42060000,261380000,47520000,0,3,5,1,3,0,3,1,0.011,138270020,EVC,가을,5,59,일반
75,김지훈,1975.8.30,50,50대 초반,남,064-784-0790,ieunjeong@yu.com,개인,mjo,2022.11.16,855,전라북도 전주시 완산구 덕진동 33-7,전라북도 전주시,3099,88,3000,일반,O,싼타페,중형,SUV,2023.3.18,2023,봄,2023 1분기,5,주말,733,48,49520000,271420000,58540000,1,2,4,1,3,1,1,1,0.001,49669860,EVC,봄,5,40,이탈가능
76,장정식,1985.4.7,40,40대 초반,남,018-721-5422,gimjunhyeog@live.com,개인,hyeonsug93,2022.12.6,835,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,VIP,O,아반떼N,준중형,세단,2023.7.7,2023,여름,2023 3분기,4,평일,622,38,37720000,321480000,53551538,2,4,7,0,1,1,5,1,0.005,348805800,FMB,여름,4,81,일반
77,심성호,1970.1.26,55,50대 중반,여,043-888-0413,pgim@igim.kr,개인,yujin12,2022.3.27,1089,대전광역시 유성구 봉명동 44-2,대전광역시,2731,64,3000,VIP,O,넥쏘,중형,SUV,2023.12.19,2023,겨울,2023 4분기,1,평일,457,53,69870000,190250000,52128462,1,2,5,1,1,0,3,1,0.001,73246250,EVC,겨울,1,53,일반
78,안경수,1977.1.22,48,40대 후반,남,042-672-7261,seonghyeongim@gmail.com,개인,jeonghyibag,2022.10.10,892,대구광역시 수성구 범어동 55-3,대구광역시,2666,90,2674,VIP,O,넥쏘,중형,SUV,2024.1.8,2024,겨울,2024 1분기,0,평일,437,47,70560000,267330000,52958333,0,2,4,1,3,1,2,1,0.002,96506130,EVC,겨울,0,45,이탈가능
79,황민재,1963.2.13,62,60대 초반,남,052-048-5499,jgim@nate.com,개인,yeongsuni,2022.11.16,855,전라남도 목포시 부주동 77-8,전라남도 목포시,4093,73,3000,VIP,O,아반떼N,준중형,세단,2024.8.7,2024,여름,2024 3분기,2,평일,225,61,36130000,87360000,57152308,0,2,4,0,1,0,3,2,0.001,15462720,EVC,여름,2,55,일반
80,김혜진,1997.4.15,28,20대 후반,남,044-287-6402,sonmijeong@yu.kr,개인,eunji78,2023.11.17,489,서울특별시 종로구 청운동 67-89,서울특별시,15533,548,5161,신규,O,G80,대형,세단,2025.1.3,2025,겨울,2025 1분기,4,평일,76,28,89730000,629500000,61722917,2,2,5,1,1,0,1,4,0.003,267537500,EVC,겨울,4,58,신규
81,김서준,1954.6.8,71,70대 초반,남,055-795-0081,mundonghyeon@gimseongi.kr,개인,seungminjang,2022.10.27,875,경상남도 창원시 의창구 봉곡동 48-6,경상남도 창원시,1338,127,3000,VIP,O,G80,대형,세단,2024.9.18,2024,가을,2024 3분기,2,평일,183,70,89740000,304270000,64562308,0,2,3,1,1,1,2,2,0.002,125054970,EVC,가을,2,47,이탈가능
82,강서영,1994.1.4,31,30대 초반,여,044-329-6982,songyeongja@dreamwiz.com,개인,caeweon92,2024.7.6,257,서울특별시 종로구 청운동 67-89,서울특별시,15533,548,5161,VIP,X,넥쏘,중형,SUV,2024.4.4,2024,봄,2024 2분기,3,평일,350,30,71330000,700830000,61722917,0,3,5,1,2,0,2,2,0.014,662985180,FMB,봄,3,59,일반
83,김지원,1958.6.2,67,60대 후반,남,018-428-7425,minjun91@live.com,개인,qcoe,2023.10.9,528,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,VIP,O,G70,중형,세단,2023.10.12,2023,가을,2023 4분기,3,평일,525,65,47350000,214510000,61140833,2,3,7,1,2,1,5,1,0.005,155305240,EVC,가을,3,74,일반
84,구영자,1972.6.26,53,50대 중반,여,051-551-0008,lhan@hanmail.net,개인,jeongho77,2022.12.10,831,서울특별시 강남구 역삼동 123-45,서울특별시,15533,548,5161,VIP,O,싼타페,중형,SUV,2023.11.29,2023,가을,2023 4분기,2,평일,477,51,42460000,93940000,55721250,0,4,5,1,1,1,5,1,0.001,29778980,EVC,가을,2,76,일반
85,장숙자,1977.4.4,48,40대 후반,여,016-846-1892,sanghyeon29@hanmail.net,개인,jieuncoe,2024.3.22,363,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,VIP,O,G70,중형,세단,2024.9.20,2024,가을,2024 3분기,4,평일,181,47,47550000,386530000,53187500,3,2,8,1,1,1,2,2,0.005,201768660,EVC,가을,4,60,일반
86,최순자,1976.6.8,49,40대 후반,남,064-717-6890,seunghyeon10@janggim.com,개인,ryuseonghyeon,2022.6.4,1020,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,VIP,O,G80,대형,세단,2025.2.8,2025,겨울,2025 1분기,5,주말,40,49,85480000,299990000,61140833,2,3,7,1,2,0,2,4,0.001,121495950,EVC,겨울,5,74,일반
87,류정숙,1985.12.18,40,40대 초반,여,055-654-3324,anjunho@yu.kr,개인,dohyeonhwang,2023.1.10,800,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,VIP,O,G80,대형,세단,2024.11.3,2024,가을,2024 4분기,6,주말,137,39,86230000,347610000,47520000,3,3,8,1,1,0,2,3,0.002,163029090,EVC,가을,6,72,일반
88,김영진,1982.9.8,43,40대 중반,남,031-093-8682,ogjacoe@dreamwiz.com,개인,jungsu25,2025.2.18,30,충청북도 청주시 상당구 낙실동 9-1,충청북도 청주시,907,54,3000,VIP,X,G80,대형,세단,2024.11.28,2024,가을,2024 4분기,3,평일,112,42,84000000,291370000,63099565,3,4,8,1,3,1,5,3,0.122,286416710,EVC,가을,3,94,vip
89,박옥자,1997.9.2,28,20대 후반,남,016-697-3319,ryujihyeon@coei.org,개인,donghyeonhwang,2025.2.17,31,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,VIP,X,싼타페,중형,SUV,2023.7.13,2023,여름,2023 3분기,3,평일,616,26,50810000,350800000,61140833,3,3,8,1,1,1,4,1,0.113,332207600,EVC,여름,3,72,일반
90,윤경숙,1997.6.2,28,20대 후반,여,070-9968-9396,geonu77@jusighoesa.com,개인,kgim,2024.3.3,382,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,VIP,X,G80,대형,세단,2023.7.7,2023,여름,2023 3분기,4,평일,622,26,84050000,434850000,61140833,1,4,6,1,1,0,4,1,0.011,510513900,FMB,여름,4,73,일반
91,김지영,1971.3.5,54,50대 중반,남,070-5521-1003,seojeonghun@igimyang.net,개인,anyeonggil,2024.3.21,364,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,VIP,O,넥쏘,중형,SUV,2025.2.21,2025,겨울,2025 1분기,4,평일,27,54,71900000,458430000,53187500,2,3,7,1,2,0,3,5,0.009,425423040,FMB,겨울,4,85,일반
92,이상현,1956.2.23,69,60대 후반,여,043-363-4302,gimminjun@nate.com,개인,haeun00,2023.2.25,754,서울특별시 종로구 청운동 67-89,서울특별시,15533,548,5161,VIP,O,싼타페,중형,SUV,2025.2.23,2025,겨울,2025 1분기,6,주말,25,69,46740000,747570000,61722917,2,2,6,1,3,0,3,5,0.007,1131820980,BVC,겨울,6,76,일반
93,김하은,1986.2.12,39,30대 후반,남,031-783-9984,anjeongnam@nate.com,개인,yeongjagim,2023.9.17,550,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,VIP,O,아반떼N,준중형,세단,2024.8.14,2024,여름,2024 3분기,2,평일,218,38,39880000,387490000,47520000,0,3,5,0,2,0,5,2,0.009,506836920,FMB,여름,2,74,일반
94,류건우,1963.11.23,62,60대 초반,여,051-143-0807,donghyeon65@dreamwiz.com,개인,haeun06,2022.9.6,926,충청북도 청주시 상당구 낙실동 9-1,충청북도 청주시,907,54,3000,VIP,O,싼타페,중형,SUV,2023.12.27,2023,겨울,2023 4분기,2,평일,449,60,49420000,340790000,63099565,3,2,7,1,1,0,2,1,0.002,156763400,EVC,겨울,2,53,일반
95,손지영,2000.3.31,25,20대 중반,남,031-694-4782,baegyeongsu@dreamwiz.com,개인,yangyeongja,2022.4.15,1070,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,VIP,O,G80,대형,세단,2024.11.5,2024,가을,2024 4분기,1,평일,135,24,88990000,277000000,51586471,0,4,5,1,1,1,4,3,0.003,207196000,EVC,가을,1,81,vip
96,김경희,1983.12.18,42,40대 초반,남,061-628-9942,jiyeonggim@nate.com,개인,xbag,2024.12.2,108,경기도 성남시 분당구 정자동 56-78,경기도 성남시,6467,594,4649,VIP,X,G70,중형,세단,2024.7.1,2024,여름,2024 3분기,0,평일,262,41,48270000,342380000,55905263,0,3,5,1,2,0,2,2,0.016,158179560,EVC,여름,0,59,일반
97,김유진,1988.4.18,37,30대 후반,남,063-444-8995,sugjagim@igimmun.kr,개인,jihyeonbag,2023.8.18,580,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,VIP,O,아반떼N,준중형,세단,2024.1.23,2024,겨울,2024 1분기,1,평일,422,36,37920000,314920000,51586471,0,4,5,0,1,0,5,1,0.007,334759960,EVC,겨울,1,76,일반
98,장현정,1975.3.27,50,50대 초반,여,055-283-5058,iseonghyeon@yu.kr,개인,jungsuyun,2022.11.2,869,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,VIP,O,싼타페,중형,SUV,2023.10.1,2023,가을,2023 4분기,6,주말,536,48,45120000,366600000,53551538,3,3,8,1,1,1,2,1,0.002,181467000,EVC,가을,6,62,일반
99,서정순,1984.5.24,41,40대 초반,남,064-716-4155,dgweon@yuhanhoesa.com,개인,ygim,2023.9.15,552,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,신규,O,G80,대형,세단,2025.2.5,2025,겨울,2025 1분기,2,평일,43,41,83990000,518840000,61140833,1,2,4,1,3,1,1,4,0.002,181594000,EVC,겨울,2,55,신규
100,차상호,1999.11.25,26,20대 중반,남,052-638-2768,jaehogim@hotmail.com,개인,pgim,2022.11.8,863,경상북도 포항시 남구 대도동 19-2,경상북도 포항시,436,121,3000,VIP,O,싼타페,중형,SUV,2024.11.4,2024,가을,2024 4분기,0,평일,136,25,41550000,406590000,59402500,2,2,6,1,1,0,2,3,0.002,223217910,EVC,가을,0,60,일반
101,안주원,1987.11.12,38,30대 후반,여,043-665-7829,seungminjang@hotmail.com,개인,sonyeongceol,2022.10.12,890,충청남도 천안시 동남구 성성동 22-3,충청남도 천안시,1036,143,5894,VIP,O,넥쏘,중형,SUV,2024.1.16,2024,겨울,2024 1분기,1,평일,429,37,71500000,426750000,51764286,2,2,7,1,2,1,2,1,0.002,245808000,EVC,겨울,1,53,일반
102,이현숙,1977.6.26,48,40대 후반,남,010-9540-2153,jgim@yuhanhoesa.kr,개인,anjeonghun,2022.3.25,1091,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,일반,O,G80,대형,세단,2023.6.18,2023,여름,2023 2분기,6,주말,641,46,84140000,602980000,61140833,2,2,4,1,3,1,1,1,0.001,245412860,EVC,여름,6,40,이탈가능
103,윤예원,1987.5.31,38,30대 후반,남,052-148-8058,eunyeong01@yu.org,개인,eunyeong65,2023.10.23,514,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,VIP,X,넥쏘,중형,SUV,2023.8.16,2023,여름,2023 3분기,2,평일,582,36,69940000,528370000,53187500,1,2,5,1,1,0,2,1,0.005,376727810,FMB,여름,2,47,이탈가능
104,이영진,1981.8.17,44,40대 중반,남,054-053-6661,ihyeonsug@daum.net,개인,bi,2023.8.17,581,대구광역시 수성구 범어동 55-3,대구광역시,2666,90,2674,VIP,O,아반떼N,준중형,세단,2024.11.30,2024,가을,2024 4분기,5,주말,110,43,33300000,300630000,52958333,1,3,6,0,3,1,4,3,0.005,244111560,EVC,가을,5,77,일반
105,김정훈,1991.7.10,34,30대 중반,남,044-714-4098,gyeonghyi99@yuo.com,개인,ijeongsu,2022.5.13,1042,경상남도 창원시 의창구 봉곡동 48-6,경상남도 창원시,1338,127,3000,VIP,O,싼타페,중형,SUV,2024.12.5,2024,겨울,2024 4분기,3,평일,105,33,35430000,339700000,64562308,3,2,6,0,1,1,2,3,0.002,155922300,EVC,겨울,3,60,일반
106,김은주,1994.4.30,31,30대 초반,여,042-804-5898,yeongsucoe@yu.org,개인,gimjeonghun,2023.10.31,506,대전광역시 유성구 봉명동 44-2,대전광역시,2731,64,3000,신규,O,G70,중형,세단,2024.11.18,2024,가을,2024 4분기,0,평일,122,30,47440000,237690000,52128462,2,2,5,1,2,0,1,3,0.001,38030400,EVC,가을,0,53,일반
107,곽건우,1980.2.20,45,40대 중반,남,019-873-3751,gimdoyun@gimgo.org,개인,sugjagim,2023.10.19,518,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,VIP,O,아반떼N,준중형,세단,2024.8.31,2024,여름,2024 3분기,5,주말,201,44,39240000,426730000,47520000,2,3,7,0,2,0,3,2,0.006,368694720,FMB,여름,5,69,일반
108,이순자,1989.5.27,36,30대 중반,여,042-425-7384,juweoncoe@hotmail.com,개인,yeji21,2023.7.27,602,경상북도 포항시 남구 대도동 19-2,경상북도 포항시,436,121,3000,VIP,X,넥쏘,중형,SUV,2023.4.27,2023,봄,2023 2분기,3,평일,693,34,71660000,478250000,59402500,2,4,7,1,1,1,5,1,0.01,771895500,FMB,봄,3,81,일반
109,안민재,1969.11.21,56,50대 중반,여,063-424-5125,sgim@hanmail.net,개인,seohyeon66,2022.6.5,1019,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,VIP,O,G70,중형,세단,2023.8.19,2023,여름,2023 3분기,5,주말,579,54,51060000,417660000,53551538,0,4,5,1,1,1,5,1,0.005,588900600,FMB,여름,5,76,일반
110,김지현,1966.9.1,59,50대 후반,여,016-549-4266,vgang@gangbag.com,개인,cgweon,2023.7.1,628,대전광역시 유성구 봉명동 44-2,대전광역시,2731,64,3000,VIP,X,싼타페,중형,SUV,2023.5.29,2023,봄,2023 2분기,0,평일,661,57,51840000,289530000,52128462,3,3,8,1,3,1,4,1,0.005,226412460,EVC,봄,0,72,일반
111,최현준,1966.11.27,59,50대 후반,남,044-230-1731,yi@gimgim.org,개인,gimsanghyeon,2024.9.2,199,대구광역시 수성구 범어동 55-3,대구광역시,2666,90,2674,VIP,X,G70,중형,세단,2024.3.21,2024,봄,2024 1분기,3,평일,364,58,51030000,351660000,52958333,0,2,5,1,2,0,4,2,0.018,334077000,EVC,봄,3,63,일반
112,권동현,1981.2.16,44,40대 중반,여,063-626-9842,hi@hwanggim.kr,개인,jiagim,2024.3.9,376,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,VIP,O,넥쏘,중형,SUV,2025.1.31,2025,겨울,2025 1분기,4,평일,48,44,70250000,598620000,53187500,1,2,6,1,2,1,4,4,0.016,967369920,BVC,겨울,4,76,일반
113,심정희,1996.12.16,29,20대 후반,남,041-847-2351,gimmiyeong@live.com,개인,junseou,2022.9.10,922,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,VIP,O,G70,중형,세단,2024.12.6,2024,겨울,2024 4분기,4,평일,104,28,48980000,363900000,51586471,1,3,6,1,2,1,5,3,0.005,446869200,FMB,겨울,4,82,vip
114,김순옥,1999.4.19,26,20대 중반,여,018-072-6912,qi@jusighoesa.com,개인,jongsu53,2024.10.22,149,서울특별시 강남구 역삼동 123-45,서울특별시,15533,548,5161,VIP,X,싼타페,중형,SUV,2023.4.22,2023,봄,2023 2분기,5,주말,698,24,36110000,130050000,55721250,3,2,7,0,1,0,2,1,0.004,22888800,EVC,봄,5,53,일반
115,이영순,1980.3.19,45,40대 중반,여,018-988-8211,seoyeon50@yu.com,개인,hyeonju64,2023.3.28,723,대전광역시 유성구 봉명동 44-2,대전광역시,2731,64,3000,일반,O,G70,중형,세단,2023.4.22,2023,봄,2023 2분기,5,주말,698,43,48500000,338030000,52128462,2,2,4,1,2,1,1,1,0.001,77070840,EVC,봄,5,40,이탈가능
116,우미영,1975.12.16,50,50대 초반,여,018-545-3522,ei@jusighoesa.kr,개인,sangceolhan,2023.10.9,528,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,VIP,O,G70,중형,세단,2024.12.11,2024,겨울,2024 4분기,2,평일,99,49,50200000,648820000,53187500,3,3,8,1,3,1,5,3,0.015,1420915800,BVC,겨울,2,87,vip
117,김정식,1974.12.16,51,50대 초반,여,051-779-1002,bi@sonjin.net,개인,hyejin16,2023.10.20,517,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,VIP,X,넥쏘,중형,SUV,2023.9.28,2023,가을,2023 3분기,3,평일,539,49,70080000,496810000,47520000,1,3,6,1,1,1,4,1,0.01,666719020,FMB,가을,3,67,일반
118,이시우,2000.9.21,25,20대 중반,남,061-364-6763,ibaeg@jusighoesa.kr,개인,songjeongja,2023.11.15,491,경상남도 창원시 의창구 봉곡동 48-6,경상남도 창원시,1338,127,3000,일반,O,아반떼N,준중형,세단,2023.12.4,2023,겨울,2023 4분기,0,평일,472,23,40250000,379950000,64562308,0,2,3,1,3,0,1,1,0.002,97267200,EVC,겨울,0,37,이탈가능
119,이서영,1964.2.21,61,60대 초반,남,02-2998-7447,jeongho43@live.com,개인,mijeong80,2023.8.28,570,울산광역시 남구 달동 23-5,울산광역시,1041,26,7751,VIP,O,싼타페,중형,SUV,2024.8.9,2024,여름,2024 3분기,4,평일,223,60,52390000,701210000,53187500,2,3,7,1,3,0,5,2,0.015,1659764070,BVC,여름,4,79,일반
120,김준서,1956.12.27,69,60대 후반,여,053-054-4830,hwangjeongsu@live.com,개인,yeonghyi20,2023.4.21,699,경기도 수원시 영통구 원천동 12-34,경기도 수원시,9879,594,4649,VIP,O,싼타페,중형,SUV,2024.7.2,2024,여름,2024 3분기,1,평일,261,68,48110000,465770000,53551538,1,4,6,1,3,1,4,2,0.007,585938660,FMB,여름,1,78,일반
121,김현준,1966.12.7,59,50대 후반,남,031-524-7998,aan@naver.com,개인,miyeongbag,2023.10.9,528,서울특별시 강남구 역삼동 123-45,서울특별시,15533,548,5161,일반,X,아반떼N,준중형,세단,2023.4.28,2023,봄,2023 2분기,4,평일,692,57,38660000,168710000,55721250,1,2,4,0,3,1,1,1,0.001,19232940,EVC,봄,4,40,이탈가능
122,박숙자,1975.12.10,50,50대 초반,여,043-103-1064,bagjeongja@dreamwiz.com,개인,eunseogim,2023.8.21,577,경상남도 창원시 의창구 봉곡동 48-6,경상남도 창원시,1338,127,3000,VIP,O,싼타페,중형,SUV,2024.10.15,2024,가을,2024 4분기,1,평일,156,49,39290000,419240000,64562308,1,3,6,0,1,1,5,3,0.009,593224600,FMB,가을,1,82,vip
123,백준서,1970.11.29,55,50대 중반,여,070-7561-0121,seonyeong40@hotmail.com,개인,gimyeongho,2023.9.13,554,대구광역시 수성구 범어동 55-3,대구광역시,2666,90,2674,VIP,O,넥쏘,중형,SUV,2024.1.30,2024,겨울,2024 1분기,1,평일,415,54,71430000,423090000,52958333,2,2,7,1,2,0,2,1,0.004,241584390,EVC,겨울,1,53,일반
124,한성훈,1975.6.5,50,50대 초반,남,061-401-7797,ngim@hotmail.com,개인,qyun,2022.4.21,1064,대전광역시 유성구 봉명동 44-2,대전광역시,2731,64,3000,VIP,O,싼타페,중형,SUV,2025.3.6,2025,봄,2025 1분기,3,평일,14,50,47810000,385840000,52128462,1,3,6,1,2,0,5,5,0.005,502363680,FMB,봄,3,92,vip
125,이예원,1999.6.12,26,20대 중반,남,010-8572-3457,minseog64@ju.net,개인,ghwang,2023.11.7,499,광주광역시 서구 치평동 14-7,광주광역시,2921,52,3090,VIP,O,G70,중형,세단,2024.10.14,2024,가을,2024 4분기,0,평일,157,25,49740000,652720000,61140833,1,3,6,1,3,1,5,3,0.016,1437942160,BVC,가을,0,82,vip
126,최서현,1968.6.11,57,50대 후반,남,043-079-6245,yeongsun54@baemungim.com,개인,gyeongjabae,2023.5.7,683,부산광역시 해운대구 우동 101-12,부산광역시,4258,114,3000,VIP,O,싼타페,중형,SUV,2023.8.9,2023,여름,2023 3분기,2,평일,589,55,38490000,535300000,47520000,1,3,6,0,3,1,3,1,0.006,580265200,FMB,여름,2,62,일반
127,박옥자,2002.12.16,23,20대 중반,여,011-710-3793,minseog78@yu.com,개인,iseonyeong,2023.11.4,502,서울특별시 강남구 역삼동 123-45,서울특별시,15533,548,5161,VIP,O,싼타페,중형,SUV,2025.2.16,2025,겨울,2025 1분기,6,주말,32,23,53930000,222640000,55721250,0,3,5,1,2,1,4,4,0.004,133806640,EVC,겨울,6,79,일반
128,김은서,1985.12.9,40,40대 초반,여,051-902-6026,bi@jusighoesa.com,개인,gimjuweon,2023.11.27,479,경상북도 포항시 남구 대도동 19-2,경상북도 포항시,436,121,3000,VIP,O,넥쏘,중형,SUV,2025.1.10,2025,겨울,2025 1분기,4,평일,69,40,71980000,550230000,59402500,0,3,5,1,2,1,5,4,0.014,1021777110,BVC,겨울,4,85,vip
129,이순옥,1964.9.11,61,60대 초반,여,018-247-9858,baghyeonju@isongwag.com,개인,sunogi,2024.7.7,256,서울특별시 강남구 역삼동 123-45,서울특별시,15533,548,5161,VIP,X,싼타페,중형,SUV,2023.4.25,2023,봄,2023 2분기,1,평일,695,59,39520000,262160000,55721250,2,2,7,0,2,0,2,1,0.005,92804640,EVC,봄,1,53,일반
130,이도윤,1960.12.31,65,60대 중반,남,062-301-2884,yeongjin28@gimsongo.com,개인,sgweon,2022.8.17,946,대구광역시 수성구 범어동 55-3,대구광역시,2666,90,2674,VIP,O,아반떼N,준중형,세단,2023.8.23,2023,여름,2023 3분기,2,평일,575,63,36340000,459430000,52958333,2,4,7,0,1,0,5,1,0.006,712575930,FMB,여름,2,81,일반
131,서건우,1999.9.27,26,20대 중반,남,063-080-0548,fbag@nate.com,개인,lcoe,2023.6.12,647,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,VIP,O,G70,중형,세단,2023.8.2,2023,여름,2023 3분기,2,평일,596,24,49310000,413210000,51586471,1,3,6,1,3,1,3,1,0.005,345856770,FMB,여름,2,62,일반
132,김영일,1978.6.4,47,40대 후반,남,070-1858-1107,sunja23@ju.org,개인,fo,2022.8.30,933,충청북도 청주시 상당구 낙실동 9-1,충청북도 청주시,907,54,3000,VIP,O,G80,대형,세단,2024.7.6,2024,여름,2024 3분기,5,주말,257,46,86640000,427430000,63099565,1,2,4,1,3,0,2,2,0.002,246627110,EVC,여름,5,50,이탈가능
133,박도현,1983.6.25,42,40대 초반,여,016-960-4239,lgim@bagju.com,개인,gimjuweon,2025.2.27,21,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,VIP,X,넥쏘,중형,SUV,2024.8.21,2024,여름,2024 3분기,2,평일,211,41,72130000,485340000,51586471,1,3,6,1,2,0,4,2,0.231,636280740,FMB,여름,2,72,일반
134,황영순,1974.10.29,51,50대 초반,남,043-054-3941,seungminyun@ison.kr,개인,wcoe,2023.6.10,649,인천광역시 남동구 구월동 88-10,인천광역시,2820,117,3000,VIP,O,싼타페,중형,SUV,2024.3.23,2024,봄,2024 1분기,5,주말,362,50,43960000,529300000,51586471,2,2,5,1,2,0,2,2,0.004,378449500,FMB,봄,5,53,일반
135,안성민,1972.9.22,53,50대 중반,남,041-954-0034,yeonggil75@ganggim.org,개인,haeunju,2022.10.1,901,충청북도 청주시 상당구 낙실동 9-1,충청북도 청주시,907,54,3000,VIP,O,넥쏘,중형,SUV,2024.3.25,2024,봄,2024 1분기,0,평일,360,52,71410000,498840000,63099565,2,3,7,1,3,0,4,2,0.006,671937480,FMB,봄,0,74,일반
136,이현준,1973.3.28,52,50대 초반,남,041-298-3351,jeongung91@live.com,개인,xi,2025.1.27,52,대전광역시 유성구 봉명동 44-2,대전광역시,2731,64,3000,VIP,X,아반떼N,준중형,세단,2023.10.10,2023,가을,2023 4분기,1,평일,527,50,40340000,426180000,52128462,3,4,8,1,1,1,5,1,0.103,612846840,FMB,가을,1,83,일반
137,김예지,1958.10.2,67,60대 후반,남,061-569-2767,coeboram@nate.com,개인,yeonghwan93,2023.6.29,630,충청북도 청주시 상당구 낙실동 9-1,충청북도 청주시,907,54,3000,VIP,X,넥쏘,중형,SUV,2023.6.2,2023,여름,2023 2분기,4,평일,657,65,72230000,571070000,63099565,0,2,5,1,2,1,2,1,0.005,440294970,FMB,여름,4,47,이탈가능
138,이영길,1955.12.4,70,70대 초반,여,018-950-1292,hgim@naver.com,개인,wi,2023.12.24,452,충청남도 천안시 동남구 성성동 22-3,충청남도 천안시,1036,143,5894,일반,X,G70,중형,세단,2023.11.12,2023,가을,2023 4분기,6,주말,494,68,48250000,475000000,51764286,3,1,5,1,3,0,1,1,0.003,152475000,EVC,가을,6,36,이탈가능
