연번,이름,성별,현재 나이,연령대,가입일,거주 지역,고객 등급,최근 구매 제품,최근 거래 금액,차량 구매 횟수,누적 구매 금액,평균 구매 금액,할부 여부,거래 방식,구매 경로,고객 충성도 지수,고객 평생 가치,생년월일,최근 구매 날짜,최근 구매 연도,구매 요일,등급
151,Aaron Carey,여성,44,40대,2023-04-17,미국,우수,i30PD,56245319,4,224981276,56245319,Y,수출,오프라인,72.46,228379648,1981,2017-05-17,2017,Tuesday,우수
152,Nicholas Wright,남성,30,30대,2023-11-05,미국,우수,캐스퍼,41844423,6,251066538,41844423,N,수출,오프라인,100.0,254990253,1995,2023-09-15,2023,Saturday,우수
153,Melissa Black,여성,60,60대,2024-01-23,미국,VIP,싼타페Long,34558935,5,172794675,34558935,Y,수출,오프라인,77.39,177511273,1965,2017-02-01,2017,Saturday,VIP
154,Riley Liu,여성,41,40대,2024-05-28,미국,우수,투싼TL,22524584,3,67573752,22524584,N,수출,온라인,69.14,73710700,1984,2018-05-20,2018,Saturday,우수
155,Stephanie Coleman,남성,52,50대,2024-02-12,미국,우수,쿠페,59325953,1,59325953,59325953,N,수출,온라인,86.13,64058346,1973,2023-10-13,2023,Monday,우수
156,Benjamin Moore,남성,31,30대,2020-08-15,미국,VIP,그랜저IG,27154786,1,27154786,27154786,N,수출,오프라인,73.16,32962290,1994,2017-01-27,2017,Monday,VIP
157,John Douglas,남성,63,60대,2021-02-09,미국,일반,그랜저HG,58349683,1,58349683,58349683,Y,수출,오프라인,73.14,64549848,1962,2016-07-25,2016,Wednesday,일반
158,Ryan Oneill,남성,63,60대,2022-04-02,미국,VIP,코나SX2,40479078,5,202395390,40479078,Y,수출,온라인,53.63,206934221,1962,2018-11-04,2018,Saturday,VIP
159,Mary Mendoza,여성,65,60대,2024-03-06,미국,일반,싼타페TM,19960813,1,19960813,19960813,Y,수출,온라인,73.51,27128546,1960,2021-02-24,2021,Wednesday,일반
160,Michael Reynolds,여성,45,40대,2020-07-02,미국,일반,캐스퍼,33272576,6,199635456,33272576,Y,수출,오프라인,85.53,204500206,1980,2024-01-18,2024,Sunday,일반
161,Courtney Ramirez,여성,44,40대,2021-04-14,미국,일반,EQ900,20375789,3,61127367,20375789,Y,수출,오프라인,57.46,66047018,1981,2020-01-24,2020,Wednesday,일반
162,Lori Dalton,남성,67,60대,2020-12-16,미국,일반,싼타페MX5,22847561,5,114237805,22847561,N,수출,온라인,91.37,121865056,1958,2018-05-13,2018,Monday,일반
163,James Kennedy,남성,49,40대,2021-09-21,미국,일반,그랜저HG,23383308,5,116916540,23383308,N,수출,오프라인,68.62,122082168,1976,2023-08-22,2023,Tuesday,일반
164,Kenneth Jimenez,여성,34,30대,2020-04-15,미국,일반,그랜저IG,24052009,3,72156027,24052009,N,수출,온라인,56.68,78940428,1991,2025-01-25,2025,Monday,일반
165,Thomas Contreras,남성,34,30대,2022-09-25,미국,우수,그랜저,30732417,3,92197251,30732417,Y,수출,온라인,84.96,99110575,1991,2017-07-17,2017,Monday,우수
166,Jose Joseph,남성,57,50대,2021-03-20,미국,VIP,GV80,21217821,4,84871284,21217821,Y,수출,온라인,65.7,92076626,1968,2018-10-17,2018,Tuesday,VIP
167,Elizabeth Flowers,남성,45,40대,2021-01-11,미국,VIP,그랜저HG,41437256,5,207186280,41437256,N,수출,오프라인,81.39,211007372,1980,2016-04-05,2016,Monday,VIP
168,Shelby Mcknight,남성,62,60대,2020-08-26,미국,VIP,그랜저HG,20634375,4,82537500,20634375,N,수출,오프라인,65.62,86589823,1963,2021-04-07,2021,Sunday,VIP
169,Ashley Meyer,남성,50,50대,2024-08-16,미국,우수,G70,45321702,3,135965106,45321702,Y,수출,온라인,69.1,139698039,1975,2020-10-23,2020,Monday,우수
170,Michael Jenkins,여성,41,40대,2021-11-29,미국,VIP,투싼TL,26865944,6,161195664,26865944,Y,수출,오프라인,77.4,167902389,1984,2022-12-07,2022,Sunday,VIP
171,Richard Gonzales,남성,56,50대,2021-07-07,미국,우수,i30PD,51882496,3,155647488,51882496,Y,수출,오프라인,74.36,160120678,1969,2022-03-28,2022,Monday,우수
172,Laura Ruiz,남성,50,50대,2021-04-16,미국,일반,싼타페MX5,24674517,2,49349034,24674517,Y,수출,오프라인,40.07,52728760,1975,2023-08-28,2023,Monday,일반
173,Ryan Huerta,여성,47,40대,2023-09-22,미국,우수,HCV,29850130,4,119400520,29850130,Y,수출,온라인,53.18,126351122,1978,2020-08-05,2020,Friday,우수
174,Matthew Spencer,남성,30,30대,2022-04-28,미국,우수,그랜저HG,23452631,4,93810524,23452631,N,수출,오프라인,83.94,98428502,1995,2024-11-16,2024,Tuesday,우수
175,Christopher Eaton,남성,48,40대,2023-05-28,미국,일반,아이오닉5,59670418,6,358022508,59670418,N,수출,온라인,68.02,362188128,1977,2017-06-24,2017,Sunday,일반
176,Roy Gonzalez,남성,64,60대,2023-01-15,미국,우수,i40,45596634,3,136789902,45596634,N,수출,온라인,62.14,142487985,1961,2018-11-25,2018,Wednesday,우수
177,Stephanie Cooper,여성,52,50대,2023-09-20,미국,우수,G90,46736672,3,140210016,46736672,Y,수출,오프라인,49.62,144849530,1973,2023-01-16,2023,Thursday,우수
178,Thomas Henderson,여성,66,60대,2023-12-21,미국,우수,코나SX2,30328779,1,30328779,30328779,N,수출,오프라인,53.8,34003211,1959,2019-03-29,2019,Friday,우수
179,John Welch,여성,57,50대,2020-09-26,미국,일반,액센트,33490677,1,33490677,33490677,N,수출,오프라인,39.67,41223841,1968,2020-09-18,2020,Wednesday,일반
180,Charles Castro,남성,29,20대,2022-09-14,미국,VIP,투싼NX4,38904818,6,233428908,38904818,Y,수출,온라인,68.48,239852369,1996,2025-01-27,2025,Wednesday,VIP
181,Laura Hoffman,남성,59,50대,2020-11-21,미국,우수,LCV,19925392,3,59776176,19925392,N,수출,온라인,61.02,67669956,1966,2024-08-23,2024,Tuesday,우수
182,Willie Morrison,여성,49,40대,2021-09-28,미국,VIP,싼타페TM,48013194,1,48013194,48013194,Y,수출,온라인,55.5,53877560,1976,2020-12-24,2020,Thursday,VIP
183,Lisa Huffman,남성,42,40대,2025-04-02,미국,일반,i40,41371565,1,41371565,41371565,Y,수출,오프라인,68.98,46345544,1983,2023-03-10,2023,Monday,일반
184,William Atkinson,남성,67,60대,2023-10-16,미국,우수,G90,53421982,6,320531892,53421982,Y,수출,오프라인,75.46,323784552,1958,2023-06-22,2023,Saturday,우수
185,Rachel Wilson,여성,36,30대,2021-05-29,미국,우수,코나SX2,45367072,4,181468288,45367072,Y,수출,오프라인,100.0,185446744,1989,2023-02-17,2023,Thursday,우수
186,Jeffrey Peterson,여성,57,50대,2024-07-17,미국,우수,벨로스터JS,48090245,5,240451225,48090245,N,수출,온라인,47.32,246332838,1968,2020-05-16,2020,Tuesday,우수
187,Dr. William Thomas,여성,38,30대,2022-02-27,미국,일반,GV80,23376335,3,70129005,23376335,Y,수출,온라인,87.39,77710275,1987,2024-05-18,2024,Thursday,일반
188,Kristin Pratt,남성,67,60대,2024-09-09,미국,우수,i30PD,52517502,6,315105012,52517502,Y,수출,온라인,84.6,320042266,1958,2023-05-17,2023,Wednesday,우수
189,Deborah Brown,남성,35,30대,2023-06-03,미국,우수,G80,55642920,3,166928760,55642920,Y,수출,온라인,58.31,174412865,1990,2018-03-06,2018,Saturday,우수
190,John Novak,여성,29,20대,2024-06-24,미국,VIP,펠리세이드,32062970,3,96188910,32062970,N,수출,온라인,73.05,101402742,1996,2018-11-17,2018,Sunday,VIP
191,Tammy Lopez,남성,27,20대,2022-06-18,미국,일반,G90,48947180,6,293683080,48947180,N,수출,온라인,63.14,297455995,1998,2020-07-01,2020,Monday,일반
192,Christopher Coleman,여성,68,60대,2023-06-18,미국,VIP,GV60,34671248,1,34671248,34671248,Y,수출,오프라인,72.79,42386945,1957,2019-09-25,2019,Friday,VIP
193,Jenna Mccormick,여성,43,40대,2022-12-04,미국,VIP,아이오닉5,21079984,3,63239952,21079984,Y,수출,온라인,92.64,69336795,1982,2021-06-04,2021,Tuesday,VIP
194,Carlos Martinez Jr.,남성,46,40대,2022-02-01,미국,우수,코나OS,54398395,3,163195185,54398395,Y,수출,온라인,79.08,169749178,1979,2019-09-16,2019,Sunday,우수
195,Kaitlyn Reed,여성,37,30대,2022-10-07,미국,일반,아반떼CN7,34799123,4,139196492,34799123,Y,수출,온라인,77.63,144752918,1988,2020-07-21,2020,Monday,일반
196,Emily West,남성,59,50대,2024-09-02,미국,일반,GV80,39410569,2,78821138,39410569,Y,수출,오프라인,63.55,82300495,1966,2020-03-09,2020,Friday,일반
197,Gary Moore,남성,53,50대,2025-02-22,미국,VIP,벨로스터JS,34729025,6,208374150,34729025,N,수출,온라인,47.74,215493152,1972,2021-07-31,2021,Sunday,VIP
198,Taylor Webb,남성,28,20대,2023-12-12,미국,일반,G90RS4,47822863,4,191291452,47822863,N,수출,오프라인,66.87,197463184,1997,2020-02-05,2020,Sunday,일반
199,Johnny Shaffer,여성,41,40대,2023-04-19,미국,VIP,싼타페DM,48780341,4,195121364,48780341,N,수출,오프라인,88.1,202083692,1984,2025-01-15,2025,Monday,VIP
200,Darryl Lewis,여성,28,20대,2025-03-22,미국,우수,아반떼CN7,44439698,5,222198490,44439698,Y,수출,오프라인,47.09,229281884,1997,2022-02-15,2022,Monday,우수
201,Kyle Hunter,남성,39,30대,2022-10-19,미국,VIP,GV60,41234759,3,123704277,41234759,N,수출,온라인,54.17,128818274,1986,2025-01-09,2025,Wednesday,VIP
202,Lawrence Duran MD,남성,49,40대,2020-08-07,미국,일반,GV70,21654556,1,21654556,21654556,N,수출,온라인,71.89,26214416,1976,2019-11-09,2019,Monday,일반
203,Eric Pittman,남성,47,40대,2020-06-10,미국,우수,G80,41390910,2,82781820,41390910,N,수출,온라인,55.23,89581848,1978,2019-11-01,2019,Tuesday,우수
204,Jose Bryant,여성,41,40대,2021-11-14,미국,우수,G80,33751833,5,168759165,33751833,N,수출,오프라인,58.11,172894453,1984,2019-07-30,2019,Thursday,우수
205,Matthew Phillips,여성,40,40대,2023-02-21,미국,우수,투싼NX4,37697591,2,75395182,37697591,Y,수출,오프라인,63.65,82226033,1985,2023-05-04,2023,Saturday,우수
206,Kenneth Perez,남성,43,40대,2024-08-17,미국,일반,GV80,18170935,2,36341870,18170935,N,수출,온라인,49.52,39766134,1982,2023-04-29,2023,Monday,일반
207,Deborah Bell,여성,38,30대,2024-03-06,미국,일반,GV70,34993027,5,174965135,34993027,Y,수출,오프라인,55.39,179402838,1987,2018-08-30,2018,Tuesday,일반
208,Joseph Travis,여성,56,50대,2020-08-10,미국,우수,i30PD,36671581,3,110014743,36671581,N,수출,오프라인,80.55,115079235,1969,2020-11-03,2020,Thursday,우수
209,Anna Nichols,여성,25,20대,2021-04-02,미국,일반,HCV,55897717,6,335386302,55897717,Y,수출,오프라인,50.39,338569331,2000,2019-07-06,2019,Friday,일반
210,Karen Guerrero,남성,62,60대,2022-05-25,미국,일반,그랜저HG,37505191,4,150020764,37505191,N,수출,오프라인,46.03,156652148,1963,2017-12-10,2017,Sunday,일반
211,Bradley Boyle,남성,43,40대,2023-07-27,미국,우수,i40,48413789,3,145241367,48413789,Y,수출,오프라인,60.55,151426409,1982,2020-01-19,2020,Wednesday,우수
212,Raymond Marquez,여성,25,20대,2023-08-29,미국,우수,LCV,52741293,6,316447758,52741293,Y,수출,온라인,80.98,322276318,2000,2019-12-05,2019,Tuesday,우수
213,Lisa Owens,남성,51,50대,2021-01-27,미국,일반,투싼LMFC,58552943,5,292764715,58552943,Y,수출,오프라인,67.05,299913082,1974,2017-10-10,2017,Sunday,일반
214,Chad Harper,남성,52,50대,2024-12-21,미국,VIP,아이오닉6,22831386,2,45662772,22831386,N,수출,오프라인,63.03,53508308,1973,2016-11-13,2016,Saturday,VIP
215,Stacey Jenkins,남성,30,30대,2021-04-09,미국,우수,펠리세이드,39818711,1,39818711,39818711,Y,수출,오프라인,70.67,44868181,1995,2025-01-09,2025,Saturday,우수
216,Mr. Barry Brooks,남성,40,40대,2022-04-04,미국,일반,더뉴아이오닉,54587509,2,109175018,54587509,N,수출,온라인,43.81,115598161,1985,2019-06-11,2019,Sunday,일반
217,Joan Marquez,여성,25,20대,2023-05-17,미국,VIP,펠리세이드,34133436,5,170667180,34133436,N,수출,오프라인,77.42,178219515,2000,2017-11-14,2017,Saturday,VIP
218,Fernando Rogers,남성,39,30대,2021-05-31,미국,일반,아반떼CN7,46325176,1,46325176,46325176,Y,수출,온라인,75.75,50873914,1986,2017-10-25,2017,Saturday,일반
219,Jose Luna,남성,62,60대,2025-02-28,미국,일반,코나OS,35523346,5,177616730,35523346,N,수출,온라인,63.86,182767967,1963,2021-06-21,2021,Friday,일반
220,Justin Melendez,남성,28,20대,2022-05-10,미국,VIP,액센트,18225800,4,72903200,18225800,N,수출,온라인,85.09,77153245,1997,2020-06-19,2020,Saturday,VIP
221,Amanda Jones,여성,27,20대,2023-07-20,미국,VIP,싼타페MX5,55088238,6,330529428,55088238,Y,수출,온라인,53.09,335105602,1998,2020-02-04,2020,Monday,VIP
222,Karen Hobbs,여성,50,50대,2023-04-02,미국,VIP,i40,51217767,2,102435534,51217767,N,수출,오프라인,86.92,106850295,1975,2025-01-17,2025,Thursday,VIP
223,Michael Johnson,여성,40,40대,2020-05-24,미국,VIP,G90RS4,31317529,5,156587645,31317529,Y,수출,오프라인,72.32,162907791,1985,2019-02-10,2019,Sunday,VIP
224,Jessica Dunn,여성,65,60대,2023-12-29,미국,일반,투싼NX4,48495529,3,145486587,48495529,N,수출,온라인,64.95,153015909,1960,2021-01-27,2021,Monday,일반
225,Stephen Butler,여성,45,40대,2022-04-14,미국,일반,쏘나타DN8,22689988,3,68069964,22689988,N,수출,오프라인,69.7,72496003,1980,2020-02-29,2020,Thursday,일반
226,Michael Cox,여성,34,30대,2021-03-10,미국,VIP,코나OS,57409760,6,344458560,57409760,N,수출,오프라인,68.39,349155461,1991,2022-10-25,2022,Friday,VIP
227,Edward Long,남성,33,30대,2021-02-19,미국,일반,싼타페TM,21146440,5,105732200,21146440,Y,수출,오프라인,88.3,112909933,1992,2017-07-17,2017,Friday,일반
228,Debbie Martin,남성,53,50대,2024-06-10,미국,우수,G70,24752390,5,123761950,24752390,Y,수출,오프라인,53.85,131159329,1972,2019-07-15,2019,Tuesday,우수
229,Jessica Johnson,남성,45,40대,2022-07-21,미국,우수,코나SX2,51778628,6,310671768,51778628,N,수출,오프라인,58.56,314320138,1980,2024-09-19,2024,Thursday,우수
230,Stephen Hamilton,남성,35,30대,2021-12-25,미국,일반,아이오닉AE,18730771,4,74923084,18730771,N,수출,오프라인,85.54,82215702,1990,2020-06-24,2020,Sunday,일반
231,Jeanne White,여성,64,60대,2023-11-19,미국,VIP,G90,30312556,6,181875336,30312556,N,수출,온라인,61.07,185673892,1961,2024-03-18,2024,Friday,VIP
232,Mrs. Marissa Manning MD,남성,47,40대,2024-05-19,미국,우수,펠리세이드,43291585,3,129874755,43291585,N,수출,온라인,83.51,135597845,1978,2024-08-18,2024,Monday,우수
233,Alexander Ford,남성,26,20대,2023-12-12,미국,일반,그랜저,33373499,3,100120497,33373499,N,수출,온라인,95.49,105380346,1999,2017-11-29,2017,Sunday,일반
234,Caleb Moreno,여성,59,50대,2024-09-04,미국,우수,투싼LMFC,30394827,6,182368962,30394827,N,수출,온라인,63.97,189107201,1966,2021-11-30,2021,Saturday,우수
235,Deborah Thornton,남성,32,30대,2022-08-25,미국,우수,싼타페TM,19995906,3,59987718,19995906,Y,수출,오프라인,80.22,66623022,1993,2016-01-02,2016,Sunday,우수
236,Karen Walters,남성,25,20대,2023-02-23,미국,VIP,GV60,53609308,2,107218616,53609308,N,수출,온라인,52.69,111223025,2000,2017-10-03,2017,Tuesday,VIP
237,William Henson,여성,45,40대,2020-12-24,미국,VIP,그랜저HG,36291674,3,108875022,36291674,Y,수출,온라인,81.32,114290152,1980,2022-03-17,2022,Tuesday,VIP
238,Anthony Baker,남성,58,50대,2021-05-24,미국,우수,투싼TL,25071093,6,150426558,25071093,Y,수출,온라인,72.99,156098614,1967,2020-05-08,2020,Wednesday,우수
239,Jeffrey Adams,남성,29,20대,2022-07-23,미국,우수,펠리세이드,25868455,5,129342275,25868455,Y,수출,오프라인,77.1,136813484,1996,2018-05-04,2018,Sunday,우수
240,Brett Gould,여성,59,50대,2024-08-05,미국,일반,쏘나타DN8,39062013,6,234372078,39062013,Y,수출,온라인,60.32,237813700,1966,2020-10-25,2020,Thursday,일반
241,Juan Austin,남성,52,50대,2023-02-07,미국,우수,코나OS,19841683,6,119050098,19841683,N,수출,온라인,45.08,122804208,1973,2025-01-09,2025,Sunday,우수
242,Joshua Scott,남성,40,40대,2022-02-25,미국,우수,싼타페DM,20991785,2,41983570,20991785,N,수출,오프라인,77.55,46777405,1985,2022-08-29,2022,Saturday,우수
243,Tricia Patterson,남성,59,50대,2021-08-25,미국,우수,싼타페MX5,44776603,1,44776603,44776603,N,수출,오프라인,39.05,51390042,1966,2020-07-19,2020,Monday,우수
244,Amanda Salinas,남성,51,50대,2023-04-05,미국,VIP,i30PD,34284865,1,34284865,34284865,N,수출,오프라인,65.24,39338916,1974,2019-02-27,2019,Saturday,VIP
245,Eric Maynard,여성,56,50대,2021-10-02,미국,VIP,i40,34999730,2,69999460,34999730,N,수출,오프라인,84.12,77179426,1969,2018-12-12,2018,Monday,VIP
246,Kimberly Tucker,남성,34,30대,2022-03-14,미국,우수,i30PD,21205486,5,106027430,21205486,Y,수출,오프라인,72.88,112885268,1991,2020-09-03,2020,Thursday,우수
247,Charles Summers,남성,40,40대,2023-12-04,미국,VIP,액센트,36932137,1,36932137,36932137,N,수출,온라인,99.23,40366435,1985,2023-08-09,2023,Saturday,VIP
248,Paige Bernard,남성,43,40대,2021-03-07,미국,우수,G70,58841323,1,58841323,58841323,N,수출,온라인,85.38,66719950,1982,2020-08-22,2020,Wednesday,우수
249,Stephanie Anderson,여성,65,60대,2025-01-05,미국,일반,코나SX2,25903320,6,155419920,25903320,Y,수출,온라인,60.19,162681897,1960,2020-09-29,2020,Thursday,일반
250,Cheryl Yang,여성,34,30대,2023-04-11,미국,VIP,GV80쿠페,26438919,3,79316757,26438919,N,수출,온라인,70.41,85588937,1991,2019-12-10,2019,Saturday,VIP
251,William Wyatt,남성,55,50대,2024-05-14,미국,일반,쏘나타DN8,38183290,6,229099740,38183290,Y,수출,오프라인,69.29,233279940,1970,2022-04-13,2022,Friday,일반
252,George Baker,남성,40,40대,2021-06-25,미국,일반,아반떼CN7,38097538,3,114292614,38097538,Y,수출,온라인,46.27,118872019,1985,2018-04-15,2018,Tuesday,일반
253,Dr. Samantha Gordon,남성,67,60대,2024-10-05,미국,우수,i30PD,32299049,5,161495245,32299049,N,수출,온라인,55.89,165824315,1958,2016-07-21,2016,Saturday,우수
254,Brett Larsen,남성,29,20대,2024-11-11,미국,우수,아이오닉5,30530942,6,183185652,30530942,N,수출,오프라인,61.59,188369973,1996,2024-11-29,2024,Monday,우수
255,Lisa Fitzgerald,남성,26,20대,2024-04-20,미국,우수,쏘나타DN8,53339660,6,320037960,53339660,N,수출,온라인,39.46,327184518,1999,2016-05-02,2016,Thursday,우수
256,Michelle Taylor,남성,70,70대,2023-05-11,미국,우수,아이오닉6,19006962,5,95034810,19006962,Y,수출,온라인,70.71,98091209,1955,2017-02-04,2017,Wednesday,우수
257,Michelle Lyons,남성,40,40대,2024-08-31,미국,일반,GV60,26661585,5,133307925,26661585,N,수출,온라인,66.26,136833130,1985,2018-02-05,2018,Monday,일반
258,Misty Smith,여성,43,40대,2022-05-02,미국,일반,싼타페TM,56652283,5,283261415,56652283,Y,수출,오프라인,44.91,289487920,1982,2016-10-20,2016,Tuesday,일반
259,William Taylor,여성,65,60대,2023-11-16,미국,일반,싼타페MX5,37077915,3,111233745,37077915,N,수출,오프라인,76.06,116610224,1960,2022-05-16,2022,Saturday,일반
260,Elizabeth Chandler,여성,55,50대,2020-10-13,미국,VIP,그랜저IG,22144646,3,66433938,22144646,N,수출,온라인,80.74,70428080,1970,2024-01-10,2024,Friday,VIP
261,Benjamin Kennedy,남성,37,30대,2024-04-02,미국,일반,싼타페Long,45168162,2,90336324,45168162,N,수출,온라인,73.41,93779157,1988,2016-07-16,2016,Monday,일반
262,Scott Freeman,남성,62,60대,2023-03-11,미국,일반,벨로스터JS,18434732,1,18434732,18434732,N,수출,오프라인,65.14,25728337,1963,2024-04-17,2024,Tuesday,일반
263,Ryan Combs,여성,51,50대,2022-11-04,미국,일반,넥쏘,31223258,4,124893032,31223258,N,수출,오프라인,78.87,132198352,1974,2021-04-14,2021,Sunday,일반
264,Craig Delgado,여성,57,50대,2021-12-05,미국,우수,G90RS4,28537798,2,57075596,28537798,N,수출,온라인,80.2,61571911,1968,2023-08-31,2023,Saturday,우수
265,Douglas Lewis,남성,70,70대,2025-03-04,미국,일반,베뉴,34469551,5,172347755,34469551,N,수출,온라인,74.61,177550292,1955,2021-12-31,2021,Tuesday,일반
266,Chris Jenkins,남성,70,70대,2024-09-06,미국,일반,싼타페Long,32698604,3,98095812,32698604,N,수출,오프라인,57.63,104802717,1955,2017-08-31,2017,Friday,일반
267,Dustin Kim,남성,36,30대,2024-01-22,미국,우수,GV60,30207916,2,60415832,30207916,N,수출,오프라인,74.15,66065904,1989,2024-12-16,2024,Monday,우수
268,Michael Graves,남성,57,50대,2023-02-23,미국,VIP,GV80쿠페,19669672,5,98348360,19669672,Y,수출,온라인,87.93,103611112,1968,2019-02-21,2019,Wednesday,VIP
269,Mr. Steven Robinson,남성,58,50대,2023-06-17,미국,VIP,벨로스터JS,46460312,5,232301560,46460312,N,수출,오프라인,61.05,237167127,1967,2016-07-05,2016,Tuesday,VIP
270,Ivan Reyes,여성,59,50대,2024-09-18,미국,일반,i30PD,44764039,3,134292117,44764039,N,수출,온라인,100.0,138798942,1966,2022-11-16,2022,Saturday,일반
271,Keith Reynolds,남성,40,40대,2024-09-04,미국,우수,아이오닉6,35275043,5,176375215,35275043,Y,수출,오프라인,62.12,182047966,1985,2020-11-29,2020,Monday,우수
272,Angela Scott,남성,70,70대,2023-05-21,미국,일반,HCV,59164806,5,295824030,59164806,Y,수출,온라인,70.49,302847882,1955,2017-10-21,2017,Friday,일반
273,Edward Mason,남성,61,60대,2025-03-29,미국,우수,GV80쿠페,32614845,3,97844535,32614845,N,수출,온라인,59.91,100955957,1964,2023-09-12,2023,Friday,우수
274,Crystal Bradley,남성,41,40대,2020-11-28,미국,우수,쏘나타LF,26991028,6,161946168,26991028,N,수출,온라인,73.35,166806720,1984,2024-03-21,2024,Thursday,우수
275,Lawrence Smith,남성,26,20대,2020-04-24,미국,VIP,i30GD,33059919,6,198359514,33059919,N,수출,오프라인,43.87,205053708,1999,2021-05-09,2021,Saturday,VIP
276,Jamie Wells,여성,49,40대,2023-04-29,미국,우수,벨로스터JS,43616454,3,130849362,43616454,Y,수출,오프라인,61.81,135962484,1976,2022-09-16,2022,Wednesday,우수
277,Amy Moore,남성,58,50대,2024-06-16,미국,VIP,GV70,28554845,6,171329070,28554845,N,수출,온라인,53.62,175037105,1967,2019-10-01,2019,Monday,VIP
278,Paul Hernandez,남성,29,20대,2024-02-02,미국,우수,HCV,56179562,3,168538686,56179562,Y,수출,온라인,72.03,176269329,1996,2021-06-09,2021,Thursday,우수
279,Robert Burnett,남성,26,20대,2022-10-27,미국,우수,쏘나타LF,55540424,5,277702120,55540424,N,수출,온라인,84.92,283887170,1999,2020-03-14,2020,Sunday,우수
280,Aaron Vargas,남성,50,50대,2022-02-04,미국,일반,아이오닉AE,35712420,1,35712420,35712420,N,수출,오프라인,79.69,39510828,1975,2016-05-26,2016,Thursday,일반
281,Pamela Grant,남성,56,50대,2022-04-19,미국,우수,액센트,25602652,3,76807956,25602652,Y,수출,온라인,34.43,84499328,1969,2024-10-24,2024,Thursday,우수
282,Kimberly Gibson,남성,44,40대,2023-06-20,미국,우수,GV80쿠페,38866761,4,155467044,38866761,Y,수출,오프라인,100.0,162296409,1981,2023-12-21,2023,Thursday,우수
283,Michael Mullen,여성,34,30대,2021-01-27,미국,우수,투싼TL,49398649,2,98797298,49398649,Y,수출,온라인,74.43,104837210,1991,2020-09-30,2020,Saturday,우수
284,Lynn Hall,여성,43,40대,2020-09-05,미국,VIP,싼타페TM,50340051,3,151020153,50340051,Y,수출,오프라인,58.35,157761976,1982,2021-01-17,2021,Wednesday,VIP
285,Christopher Thompson,남성,25,20대,2025-03-24,미국,VIP,GV60,56224971,6,337349826,56224971,Y,수출,오프라인,72.36,343875909,2000,2017-05-03,2017,Thursday,VIP
286,Charles Campbell DDS,여성,44,40대,2023-05-30,미국,우수,베뉴,43139920,2,86279840,43139920,Y,수출,오프라인,72.64,94209423,1981,2024-02-24,2024,Monday,우수
287,Kathleen Morales,여성,65,60대,2020-06-14,미국,VIP,싼타페TM,34751913,2,69503826,34751913,N,수출,오프라인,60.0,75271535,1960,2021-05-13,2021,Tuesday,VIP
288,Jennifer Miller,남성,25,20대,2021-10-07,미국,VIP,벨로스터FS,35597668,5,177988340,35597668,Y,수출,오프라인,72.97,181521067,2000,2020-07-21,2020,Saturday,VIP
289,Danielle Riley,남성,61,60대,2021-09-04,미국,우수,더뉴아이오닉,41476772,2,82953544,41476772,Y,수출,온라인,60.89,88688893,1964,2023-02-11,2023,Friday,우수
290,Jesus Kirk,남성,46,40대,2024-03-10,미국,VIP,GV60,19711260,6,118267560,19711260,Y,수출,온라인,63.93,122164765,1979,2022-07-13,2022,Monday,VIP
291,Lori Diaz,남성,45,40대,2021-07-21,미국,우수,벨로스터JS,32570177,1,32570177,32570177,N,수출,온라인,59.71,39384874,1980,2023-12-29,2023,Thursday,우수
292,Jeff Dodson,남성,37,30대,2024-02-08,미국,일반,GV70,44080494,1,44080494,44080494,N,수출,오프라인,48.51,51250469,1988,2017-10-02,2017,Tuesday,일반
293,Samuel Lewis,남성,53,50대,2021-03-19,미국,일반,G90RS4,49078375,2,98156750,49078375,Y,수출,오프라인,72.19,103272839,1972,2020-12-07,2020,Tuesday,일반
294,Alexis Ware,남성,60,60대,2024-01-02,미국,VIP,넥쏘,26344438,5,131722190,26344438,Y,수출,오프라인,78.78,136353966,1965,2022-11-25,2022,Saturday,VIP
295,Matthew Hall,여성,27,20대,2024-05-06,미국,VIP,HCV,38854487,3,116563461,38854487,N,수출,온라인,77.72,120252503,1998,2021-05-23,2021,Monday,VIP
296,Bonnie Young,여성,25,20대,2022-11-09,미국,우수,G70,20982841,5,104914205,20982841,Y,수출,온라인,82.3,112062848,2000,2022-01-07,2022,Friday,우수
297,Susan Thomas,여성,35,30대,2022-04-19,미국,VIP,더뉴아이오닉,27571494,5,137857470,27571494,Y,수출,온라인,74.87,142628688,1990,2019-12-09,2019,Tuesday,VIP
298,Kathleen Adkins,남성,63,60대,2021-08-05,미국,우수,액센트,42756006,4,171024024,42756006,Y,수출,온라인,62.01,176030097,1962,2020-06-22,2020,Monday,우수
299,Gina Glass,남성,43,40대,2021-11-27,미국,VIP,싼타페TM,19355021,1,19355021,19355021,N,수출,오프라인,82.59,27339621,1982,2016-09-19,2016,Saturday,VIP
300,Justin Turner,여성,43,40대,2023-08-05,미국,VIP,그랜저,38398335,5,191991675,38398335,N,수출,온라인,49.64,196327996,1982,2020-11-22,2020,Saturday,VIP
301,Jack Riley,여성,43,40대,2024-11-03,미국,우수,싼타페TM,47665115,2,95330230,47665115,Y,수출,오프라인,56.49,102173194,1982,2021-12-31,2021,Sunday,우수
302,Jared Jones PhD,여성,53,50대,2025-01-18,미국,일반,벨로스터,35461543,2,70923086,35461543,Y,수출,오프라인,55.54,74315501,1972,2022-07-21,2022,Tuesday,일반
